date,tag_count,image_count,latest_images,arm_images,arm64_images,ppc64le_images,x386_images,amd64_images,s390x_images,linux_images,windows_images
2020-05-24 00:00:00,5940,10026,1218,1204,1066,752,517,4755,1580,9767,212
2020-05-25 00:00:00,5940,10022,1219,1204,1066,746,517,4757,1580,9763,212
2020-05-26 00:00:00,5941,10027,1217,1204,1066,752,517,4755,1581,9760,220
2020-05-27 00:00:00,5951,10016,1213,1193,1061,752,515,4762,1583,9749,220
2020-06-04 00:00:00,5979,9849,1206,1163,1036,740,511,4723,1523,9588,213
2020-06-05 00:00:00,5981,9959,1195,1185,1056,741,508,4763,1565,9700,211
2020-06-06 00:00:00,5991,9977,1210,1193,1052,739,508,4757,1554,9724,205
2020-06-07 00:00:00,5991,9987,1210,1193,1055,741,508,4761,1555,9734,205
2020-06-08 00:00:00,5992,9970,1210,1189,1051,737,508,4758,1553,9717,205
2020-06-09 00:00:00,5997,9868,1216,1190,1023,700,513,4737,1515,9616,204
2020-06-10 00:00:00,6011,9963,1243,1204,1053,696,516,4768,1528,9695,220
2020-06-11 00:00:00,6012,9742,1244,1103,990,697,497,4752,1519,9443,251
2020-06-12 00:00:00,6013,9767,1199,1115,1008,713,503,4773,1509,9479,240
2020-06-13 00:00:00,6013,9943,1193,1119,1038,732,503,4834,1569,9655,240
2020-06-14 00:00:00,6013,9862,1193,1118,1028,722,503,4804,1539,9574,240
2020-06-15 00:00:00,6013,9845,1193,1119,1024,718,503,4802,1531,9557,240
2020-06-16 00:00:00,6013,9829,1196,1131,1013,715,501,4790,1531,9540,241
2020-06-17 00:00:00,6014,9908,1202,1128,1042,757,504,4784,1555,9631,229
